atomic_ea_max,atomic_en_allredroch_sum,atomic_radius_max,atomic_radius_calculated_max,bulk_mod_max,covalent_rad_emp_max,covalent_rad_emp_sum,electrical_resist_max,rigidity_mod_max,van_der_waals_rad_mean,entalpia_oxides_min,entropia_oxides_min,Z_sum,phase_disambiguated
9.90379,1.594774,64.61,71.994,78.455,57.6875,131.8011,4.615,37.843,35.02712857142857,-762181.04885,-253.1913605,29.69186918691869,others
19.73728,1.68367,23.338,26.8387,30.006,23.1713,130.026,24.0048,13.6694,40.17469999999999,-317468.18094,-91.4561209,27.5,spinel
12.74,1.416,37.0,32.2,36.0,27.8,102.6,28.8,15.0,49.95999999999999,-670289.8400000001,-125.3474,27.0,multiphase
23.68,1.618,30.0,30.4,36.0,27.6,129.2,1.44,15.2,48.32000000000001,-240601.72,-77.1958,25.2,rock salt
12.74,1.566,30.0,32.2,36.0,27.8,130.2,28.8,16.4,48.76000000000001,-380885.64,-109.7254,24.0,spinel
3.8,1.238,70.0,88.0,55.0,68.0,152.1,20.0,22.0,43.06666666666666,-472374.45,-92.6665,31.8,perovskite
22.4,1.65,28.0,33.2,36.0,27.8,127.6,28.8,23.0,48.56,-450821.78,-109.7254,26.0,spinel
20.54589,1.138515,77.4845,102.9794,4.6322,73.9852,96.7613,21.64567,16.4967,45.16991666666667,-548620.15402,-96.7491463,49.7458,pyrochlore
20.55,1.138524,77.5,103.0,4.5144,74.0,98.4272,21.65,16.5,45.11906666666667,-548729.9,-96.7685,49.23975204959008,pyrochlore
20.55411,1.13811,77.5155,103.0206,4.392799999999999,74.0148,100.0762,21.65433,16.5033,45.04883333333333,-548839.64598,-96.7878537,48.7292,pyrochlore
20.55,1.137875,77.5,103.0,4.275,74.0,101.7125,21.65,16.5,44.98958333333334,-548729.9,-96.7685,48.225,pyrochlore
20.55,1.137,77.5,103.0,3.8,74.0,108.3,21.65,16.5,44.75,-548729.9,-96.7685,46.2,pyrochlore
23.68,1.654,28.0,31.2,36.0,27.6,126.6,2.0,16.4,47.44,-670289.8400000001,-125.3474,25.2,spinel
