pca_comp_1,pca_comp_2,pca_comp_3,pca_comp_4,pca_comp_5,pca_comp_6,pca_comp_7,pca_comp_8,pca_comp_9,pca_comp_10,pca_comp_11,pca_comp_12,pca_comp_13,pca_comp_14,pca_comp_15,pca_comp_16,pca_comp_17,pca_comp_18,pca_comp_19,pca_comp_20,pca_comp_21,pca_comp_22,pca_comp_23,pca_comp_24,pca_comp_25,pca_comp_26,pca_comp_27,pca_comp_28,pca_comp_29,pca_comp_30,pca_comp_31,pca_comp_32,pca_comp_33,pca_comp_34,pca_comp_35,pca_comp_36,pca_comp_37,pca_comp_38,pca_comp_39,pca_comp_40,pca_comp_41,pca_comp_42,pca_comp_43,pca_comp_44,pca_comp_45,pca_comp_46,pca_comp_47,pca_comp_48,pca_comp_49,pca_comp_50,phase_disambiguated
-619425.052227425,23067.466262378588,-21381.690064705697,39024.8729845954,131975.94689098553,128522.81400830435,-23542.949048698363,-52948.46984973283,-8349.554023292001,-1961.1922686994262,6034.87526038765,2044.6074976172742,-5050.678425189502,4415.113680600298,-656.4550207329526,-166.39079698158818,-96.52341300980677,18.126170556540632,518.9195250837149,986.6503807255006,83.97470430882753,393.8973615965274,791.6551918093845,-188.32776157124417,-137.52683323928218,163.15703656226782,-172.98485940289493,-11.536731165397347,158.94543205177055,69.70767341536227,-132.01890898801827,-63.89454066265856,89.97909935580277,20.61510146206385,-37.4153109508782,76.7911417568522,77.47198891313751,-5.021469808150421,-22.449962139081975,-6.90229837235169,-2.776217097064048,-94.0863145520558,-19.49653730359013,38.644394095309565,-8.787861829546053,-22.72181057052504,96.87499252261523,66.9268576112458,7.82830412304834,12.307520961784384,rock salt
81420.86476513282,329060.18819664716,5128.7398367445085,-22080.411042023596,-29374.161309230938,-25671.988370098337,-3241.975347182232,-32170.215435773483,-4774.482195818635,-1173.8910486405503,-4527.884387859702,1444.5934566600843,-284.0216867987999,-26.948542936776946,-158.69620086446304,-1682.8345192815282,491.5224874833814,-24.366198472850982,-126.24760119301521,-199.86260427064715,-118.33411195916317,242.6967208676792,51.72181638241463,-40.77719349448163,-14.033004095166731,-56.06172215835451,90.4581072425957,-95.40291104399904,79.02558094922819,23.049117158235457,-3.653516913173358,19.90830217405369,2.204023184032929,-2.5308305326548557,-15.499434348635488,-71.90354776725569,-17.11712874553782,-9.776425221986507,27.502045117494443,16.279130993996805,-2.6475788706074628,-31.550961151110194,-49.0453466758876,-6.958848934718115,5.3333316703606855,-3.7065161249179464,13.330625422606031,-34.086375876579154,-51.515667613326364,29.702477219795387,perovskite
-198600.70582788743,276088.73315372085,1556.9296971444053,-20076.690040878933,-32216.14818034501,-36077.447710345834,-803.920672865025,-42791.627829413344,-6290.878207612457,-1515.9393323861068,3485.1788746870398,-999.8923806350448,194.20889467069068,-65.56494918269689,-205.83270502785447,-1816.6535183708606,516.5259495374735,-94.66933452522674,-234.61239085757023,-311.12742565727126,-157.34532009891163,357.18859072535923,56.262291508824354,-48.47323036606026,-31.996212684021636,-64.31945441443337,98.87452194381022,-146.01587311227877,107.27650694581479,102.13371293817633,29.895851626636862,5.0810544240631526,10.934663699240602,9.068073540181983,6.898756545576432,-47.59982928246061,-39.109588513041224,-27.3480245695075,65.70459328025139,35.3518864070748,-15.4959411708849,-1.7711152812930977,-45.718820929387846,27.65642519134071,4.418044728785021,17.34370616458242,10.281738780402106,-14.826482261348547,44.80833865907038,-48.26920590576753,spinel
-479905.9044086978,-42610.09101870897,-20928.393447004422,31252.9664086269,25119.615566940833,-59527.81331221379,144381.28032156112,382974.3819256264,-9703.24765950891,-1998.6110927430682,-1557.1488470909476,-500.90543884831806,685.3995998022448,-55.08553091290594,-1859.5853415868698,295.49613501915314,497.67382558245066,52.43758891661452,259.53303781338406,168.8186364622756,39.68884892167967,-244.5497373406463,-2.9681720019585622,34.822713946192536,69.6269373656304,212.7350008283758,168.70423422237718,-232.2857839753485,51.57380091362224,-207.7813922103092,161.29757568440917,316.63987034814085,160.6660694230365,188.2659823478168,-15.29584706649049,30.10721276972283,-3.019933687365656,13.068847199861219,33.28343009585752,11.11314439252147,-17.53104701453632,-18.368860082876868,-38.31190267061829,19.441498158733335,-16.715120234036547,-5.647835306167759,-7.1166763762304015,-4.653663822888014,-19.824556119274497,0.481839508319798,spinel
-70220.17483460135,-496147.3238571022,-593174.3279988448,-379479.8811974725,-147726.02392520625,-19907.019451365086,-31118.401504264933,-38847.13757279741,-6331.601574767249,-1482.0082611814219,-5593.114281665065,-2038.9649226800175,5060.423282012281,4519.943671438269,783.3576106252083,-648.8616985481332,476.5828280413808,136.94359572566137,334.83795340103853,211.99887835117121,-0.8831075324839768,-801.8097947622914,54.69836327541967,254.35681040104936,-184.55099630981982,-95.01525065745427,-176.07395297884761,-970.6025964640182,-393.3609730097692,-37.442472488267455,-233.37683405898665,-73.32218400960193,30.756328255418012,6.566707565977056,-14.583867519420398,-78.11743490240553,-60.666244625954334,-7.479197462042079,-29.10483424384506,7.23708376350317,-17.110231270680945,-18.869363790481565,-9.68093890511339,-21.58302747966663,-32.59205673672616,30.713067254916375,-37.17296121125728,37.756156767973486,-60.04481877110661,-49.054666060053854,multiphase
-267481.4280320374,-169625.90627925732,-30145.128540559166,60810.07449474849,65183.32068949314,-59830.85552651605,232420.04801363585,665850.7028888647,-9784.460855357562,-1804.5462916121169,-8294.66482439119,-2524.666180864224,3451.542907678961,93.71042770661907,-9644.934680715232,1603.2970939308302,2228.184368104477,17.880027210081597,-79.10463006556752,-833.8602166398987,54.49217442124769,-336.93437746997677,404.5352449385774,-344.28254482824724,-386.6481936417784,-1454.1770935092604,-1125.1948494284632,245.63947790888517,-17.61568382323048,74.6461110315882,31.504492060746184,-29.681196663278232,-0.45661309526311306,14.804384912450693,32.472123764058765,14.055823755322912,25.313321111905513,17.50932942817793,-16.622300438409663,16.40044848127241,6.169720690072831,-19.898096673309425,-4.722563107697168,10.99772646230597,4.855852766612536,-42.670087650299244,18.74079104515038,-37.83036737082012,-86.16907721000851,-24.23821322632474,spinel
2509274.8390011536,788075.2132192183,35482.712004129615,-38959.74667890878,-4661.379448890989,64267.31192319368,-24204.417454185175,60125.14017696802,7281.9922965285605,2009.029556677407,29681.15031363987,-9261.668380555275,1826.0188915706842,264.2254516781384,-553.0494363201979,-216.63188107039386,-150.41018777456242,6422.976379930642,220.15619689375163,372.3384448427393,143.1001912037647,298.84097871468725,-69.09806589123215,60.93129061467158,68.39344860334738,-364.66307085637607,330.4450996644988,-68.87872247002697,132.7829229112652,-101.36551186798104,-56.0525749158583,-51.69743131901753,20.503431482858147,1.3519103181803822,47.17329959670116,103.54749504384608,-21.19407320852088,-10.638700868147657,-18.50974035227127,-6.759056481961035,-4.00432867383523,-34.100724169992176,-5.5332514638915145,11.745217408496943,-16.221644694442972,32.55233252079061,-5.287892806813431,-3.376326582598886,29.3281880289943,-17.257538362708907,pyrochlore
-398023.4763141277,-236282.08357525646,344880.697153272,-141635.36139390094,-83523.5646684447,-33984.736414571584,-13745.143012996432,-47731.36988227431,-7365.394451773336,-1728.6896800757986,4049.4026194754947,3538.479193865987,959.7748557143289,-79.8170936215185,-220.75927040261678,-1504.426776827286,403.2845382319701,-7.7156204511963775,-465.42296420597404,-595.8094821738061,-194.95452449173885,226.24986973908878,402.46230016215026,151.8122656032182,52.95388510947444,43.05187996623104,97.80646428653145,26.12400840948884,32.1884882272062,129.5922599373066,-94.52200707550755,-26.644016878945735,-86.17558018024991,176.34285358122386,19.611725119201648,47.92684822091796,-37.02199485229838,-31.761543855587504,-52.010667898568066,-121.40463145724227,20.752435874932065,-147.3522441978579,145.12995555737763,32.91267965171917,175.10906732349434,6.03711434501189,-121.97790139909,2.4885820780924566,22.434083332736634,-6.752565757245399,spinel
-451296.6627193894,-186033.74854483007,300281.3625188948,-125649.64092008726,-77806.02082052075,-37159.45840109827,-11424.894607431512,-50094.952703871764,-7606.794795323952,-1807.550328536853,2106.132400024549,1708.0932561033567,465.1502781294459,-87.1997980961192,-174.88100638167526,-1580.1559608620616,446.0485484284092,-5.189620751067905,-461.2282743619795,-603.888499305778,-198.8103480668618,221.07362422388343,406.08764176727584,137.30359800081845,54.39400682414767,13.487507903255091,124.99056527015217,11.50639997588844,30.630452803710114,130.56953945956988,-86.9032849602966,-9.679173825270242,-101.01023049374348,175.06979781326385,11.614289818259861,43.041238977009506,-15.72063960225937,-27.020659455831936,-66.4836602158162,-113.42417932823848,-20.630115525486836,-142.53907992723944,135.77138144559396,32.235178919522006,172.8407691868797,8.761794812606807,-120.0413895176412,2.996950955709244,21.009837520630214,-7.617482682397905,spinel
-398023.76737648924,-236281.87107750712,344880.0059592664,-141635.0326743493,-83523.40882473138,-33984.75870067284,-13745.062326966508,-47730.92591438145,-7365.487397299802,-1727.9288596651913,4067.3421497217896,3561.231354413394,962.2303178147617,-68.41066230433266,-254.47270786637262,-1679.21483488795,451.61351677597906,29.540131166607352,-476.8012046933253,-642.956667565016,-210.78974913302227,25.792291655707476,555.7111103831503,215.35103740687435,57.85217804465583,103.25025377092945,11.555759435833394,-68.9058063520709,70.92818862714054,24.047707606804583,-2.3965209553804114,17.887424482430394,22.123293428422112,-78.00228778954613,-2.1407193126864468,8.20440926542827,-5.898049621156818,-3.2639708465848067,-29.169523514492912,-101.52465838598538,-3.931246045522268,-95.99171521079845,137.66579763249726,11.219121908502581,117.82673782922618,18.67947930474581,-123.2081365670218,28.721565510307936,-8.574726423730906,25.443154071139357,spinel
